url	first_seen	portal	title	company	status
https://jobs.lever.co/celaralabs/a42e3b5c-d748-4d0c-b661-1283d350374f	2026-04-07	Lever WebSearch — QA Automation	QA Automation Engineer	Celara	added
https://jobs.lever.co/bluesight/5668e24b-3143-4882-89fd-918bb24b3a20	2026-04-07	Lever WebSearch — SDET	Senior Software Development Engineer in Test (SDET)	Bluesight	added
https://alkami.wd12.myworkdayjobs.com/alkami/job/us-remote/staff-sdet_jr-000546	2026-04-07	Broader WebSearch	Staff SDET	Alkami	added
https://job-boards.greenhouse.io/flex/jobs/4655636005	2026-04-08	Greenhouse WebSearch — SDET	Senior Software Development Engineer in Test (SDET)	Flex	added
https://job-boards.greenhouse.io/rapidfortinc/jobs/4193607009	2026-04-08	Greenhouse WebSearch — SDET	SR SDET / Sr QA Automation Engineer (Python, CLI, CI/CD, Containers)	RapidFort	added
https://jobs.lever.co/gohighlevel/3299d482-4ae7-4f34-abcf-3d1b01e58d38	2026-04-08	Lever WebSearch — SDET	Software Development Engineer in Test III - AI	HighLevel	added
https://jobs.lever.co/gohighlevel/ca4ef37c-f259-4b6b-8d28-c034feed8874	2026-04-08	Lever WebSearch — SDET	Lead Software Development Engineer in Test - Lead Gen	HighLevel	added
https://jobs.lever.co/gravie/1a651cf9-4c31-417b-9b9b-4aaa2dc9de6e	2026-04-08	Lever WebSearch — QA Automation	AI Test Automation Engineer	Gravie	added
https://job-boards.greenhouse.io/dragos/jobs/5039760008	2026-04-08	Greenhouse WebSearch — SDET	Senior Software Development Engineer in Test (SDET)	Dragos	skipped_title
https://job-boards.greenhouse.io/aiserajobs/jobs/5360318004	2026-04-08	Greenhouse WebSearch — SDET	Senior SDET	Aisera	skipped_title
https://job-boards.greenhouse.io/freshprints/jobs/5848969004	2026-04-08	Greenhouse WebSearch — SDET	SDET - Software Engineer in Test	Fresh Prints	skipped_title
https://jobs.lever.co/jobgether/205e6d24-e975-4029-a3ec-078f8e47800f	2026-04-08	Lever WebSearch — SDET	Remote Senior QA Engineer	Jobgether	skipped_title
https://jobs.ashbyhq.com/cohere	2026-04-08	Ashby Playwright	No QA/SDET matches	Cohere	skipped_title
https://jobs.ashbyhq.com/zapier	2026-04-08	Ashby Playwright	No QA/SDET matches	Zapier	skipped_title
https://jobs.ashbyhq.com/langchain	2026-04-08	Ashby Playwright	No QA/SDET matches	LangChain	skipped_title
https://jobs.ashbyhq.com/deepgram/c270da71-66b3-4f9f-9ee1-773a062944d3	2026-04-20	Ashby Playwright	QA Engineering Manager	Deepgram	added
https://jobs.ashbyhq.com/deepgram/1111c5de-2f90-4f38-a353-115a64a9ca33	2026-04-20	Ashby Playwright	Model Evaluation QA Lead	Deepgram	added
https://job-boards.greenhouse.io/flex/jobs/4684410005	2026-04-20	Greenhouse WebSearch — SDET	Senior Software Development Engineer in Test (SDET)	Flex	added
https://job-boards.greenhouse.io/machinifyinc/jobs/4111848009	2026-04-20	Greenhouse WebSearch — QA Automation	Staff Automation Engineer QA	Machinify	added
https://job-boards.greenhouse.io/dragos/jobs/5039765008	2026-04-20	Greenhouse WebSearch — SDET	Senior Software Development Engineer in Test (SDET)	Dragos	added
https://job-boards.greenhouse.io/knowbe4/jobs/8500816002	2026-04-20	Greenhouse WebSearch — QA Automation	QA Engineer (MIS)	KnowBe4	added
https://jobs.lever.co/spotify/ba0e386d-8fbc-4291-b107-b525f4d6133f	2026-04-20	Lever WebSearch — QA	Senior QA Engineer Platform & Partner Experience	Spotify	skipped_title
https://jobs.lever.co/spotify/5bff6977-9520-49d4-a407-d48a891c2371	2026-04-20	Lever WebSearch — QA	Full Stack Engineer Test Experience Engineering	Spotify	skipped_title
https://jobs.ashbyhq.com/real/504cc0d1-d4ca-4768-9dfb-f32b713730b9	2026-04-20	Ashby WebSearch — QA Automation	Sr QA Automation Engineer Tech Lead	Real	skipped_expired
https://job-boards.greenhouse.io/cresta/jobs/5148813008	2026-04-20	Greenhouse WebSearch — QA Lead	QA Lead, AI Agent	Cresta	added
https://job-boards.greenhouse.io/clickhouse/jobs/5654024004	2026-04-20	Greenhouse WebSearch — Quality Engineer	QA Engineer, Core Database	ClickHouse	added
https://jobs.ashbyhq.com/tillo/22ae6a3f-433c-4834-8218-df0f059425e2	2026-04-20	Ashby WebSearch — SDET	Senior SDET	Tillo	skipped_title
https://jobs.ashbyhq.com/abridge/ceb6a3c4-05ee-4c96-b563-fa7c585ca41e	2026-04-20	Ashby WebSearch — QA Lead	QA Lead	Abridge	skipped_title
https://jobs.ashbyhq.com/limble/8b51bfd5-6f72-4dc7-b410-0bed47960bdf	2026-04-20	Ashby WebSearch — QA Lead	Lead QA Engineer	Limble CMMS	skipped_title
https://jobs.ashbyhq.com/Chestnut/c7032fc0-8463-455d-b011-f836d7d77faa	2026-04-20	Ashby WebSearch — QA Lead	QA Lead Software Engineer	Chestnut	skipped_title
https://job-boards.greenhouse.io/nice/jobs/4835611101	2026-04-20	Greenhouse WebSearch — QA Lead	Lead QA Architect	NICE	skipped_title
https://job-boards.greenhouse.io/goodnotes/jobs/5723947004	2026-04-20	Greenhouse WebSearch — QA Lead	Lead Quality Engineer	Goodnotes	skipped_expired
https://job-boards.greenhouse.io/lifted/jobs/7689401003	2026-04-20	Greenhouse WebSearch — QA Automation	Senior Quality Assurance Engineer	Lifted	skipped_title
https://job-boards.greenhouse.io/assystinc/jobs/4214576009	2026-04-20	Greenhouse WebSearch — SDET	Test Automation Engineer (SDET)	ASSYST	skipped_title
https://job-boards.greenhouse.io/lastpass/jobs/4376661005	2026-04-20	Greenhouse WebSearch — SDET	Senior Software Engineer SDET	LastPass	skipped_title
https://jobs.lever.co/softrams/8ab0c4e5-e5fa-4ebe-ac66-9b8ba81005cd	2026-04-20	Lever WebSearch — SDET	Software Development Engineer in Test (SDET)	Softrams	skipped_title
https://builtin.com/job/senior-qasdet-engineer-remote-us-based/3520317	2026-04-20	Builtin WebSearch — SDET	Senior QA/SDET Engineer	Liquibase	skipped_expired
https://builtin.com/job/lead-software-development-engineer-test-sdet/2546760	2026-04-20	Builtin WebSearch — SDET	Lead SDET/QA Manager	Drivetrain	skipped_title
https://jobs.ashbyhq.com/roompricegenie/5004ba4d-c232-4a9e-8739-8765a5638e70	2026-04-20	Ashby WebSearch — QA Automation	Remote Senior QA Test Automation Engineer	RoomPriceGenie	skipped_title
https://jobs.ashbyhq.com/kraken.com/e50565e5-fdb3-4ee0-b6f6-abe5fe5ef24b	2026-04-20	Ashby WebSearch — QA Automation	Senior QA Automation Engineer Web3	Kraken	skipped_title
https://jobs.ashbyhq.com/playson/8b88f451-8de1-4edb-b406-2f7b27c63d3a	2026-04-20	Ashby WebSearch — QA Automation	Senior QA Automation Engineer	Playson	skipped_title
